Markets: *:spot:btc-usd
Quote size: 10
Synced with:  {'krkn'}
{'ask': 36058.90593821999, 'bid': 36227.9254062447, 'spread': 169.01946802470775}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
{'ask': 36011.2964458296, 'bid': 36227.9254062447, 'spread': 216.62896041510248}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9399431114, 'bid': 36227.9254062447, 'spread': 216.98546313330007}
{'ask': 36010.9070431114, 'bid': 36227.9254062447, 'spread': 217.0183631332984}
Synced with:  {'eris'}
{'ask': 36010.9070431114, 'bid': 36228.44609428629, 'spread': 217.53905117489194}
{'ask': 36010.9070431114, 'bid': 36228.44609428629, 'spread': 217.53905117489194}
{'ask': 36010.9070431114, 'bid': 36228.44609428629, 'spread': 217.53905117489194}
{'ask': 36010.9070431114, 'bid': 36228.44609428629, 'spread': 217.53905117489194}
{'ask': 36010.9070431114, 'bid': 36228.44609428629, 'spread': 217.53905117489194}
{'ask': 36010.9070431114, 'bid': 36228.44609428629, 'spread': 217.53905117489194}
{'ask': 36010.9070431114, 'bid': 36228.44609428629, 'spread': 217.53905117489194}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0124294526, 'bid': 36228.44609428629, 'spread': 1640.4336648336903}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
Synced with:  {'okcn'}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
{'ask': 34588.0106077506, 'bid': 36228.44609428629, 'spread': 1640.4354865356945}
Synced with:  {'stmp'}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
{'ask': 34588.0106077506, 'bid': 36229.0140357372, 'spread': 1641.0034279866013}
